selected_packet,valid,invalid,avg_degree
0,0,1,163.56
0,0,2,81.44
0,0,3,43.55
0,0,4,21.85
0,0,5,11.83
0,0,6,6.99
0,0,7,3.99
0,0,8,2.59
0,0,9,1.65
0,0,10,1.42
0,0,11,1.18
0,0,12,1.14
0,0,13,1.03
0,0,14,1.03
0,0,15,1.05
0,0,16,1.01
0,0,17,1.0
0,0,18,1.0
0,0,19,1.0
0,1,0,201.25
0,1,1,86.05
0,1,2,46.27
0,1,3,22.92
0,1,4,12.71
0,1,5,6.92
0,1,6,4.5
0,1,7,2.49
0,1,8,1.84
0,1,9,1.45
0,1,10,1.15
0,1,11,1.11
0,1,12,1.05
0,1,13,1.03
0,1,14,1.04
0,1,15,1.01
0,1,16,1.01
0,1,17,1.0
0,1,18,1.0
0,1,19,1.0
0,2,0,107.19
0,2,1,53.02
0,2,2,24.72
0,2,3,14.5
0,2,4,7.47
0,2,5,4.42
0,2,6,3.15
0,2,7,1.86
0,2,8,1.42
0,2,9,1.31
0,2,10,1.13
0,2,11,1.07
0,2,12,1.1
0,2,13,1.03
0,2,14,1.01
0,2,15,1.0
0,2,16,1.01
0,2,17,1.0
0,2,18,1.0
0,2,19,1.0
0,3,0,66.47
0,3,1,29.74
0,3,2,15.62
0,3,3,8.33
0,3,4,4.41
0,3,5,2.65
0,3,6,2.03
0,3,7,1.42
0,3,8,1.28
0,3,9,1.05
0,3,10,1.1
0,3,11,1.04
0,3,12,1.0
0,3,13,1.02
0,3,14,1.01
0,3,15,1.0
0,3,16,1.0
0,3,17,1.0
0,3,18,1.0
0,3,19,1.0
0,4,0,41.71
0,4,1,18.89
0,4,2,8.29
0,4,3,5.16
0,4,4,2.92
0,4,5,2.09
0,4,6,1.53
0,4,7,1.27
0,4,8,1.23
0,4,9,1.14
0,4,10,1.05
0,4,11,1.01
0,4,12,1.02
0,4,13,1.01
0,4,14,1.0
0,4,15,1.0
0,4,16,1.0
0,4,17,1.0
0,4,18,1.0
0,4,19,1.0
0,5,0,25.54
0,5,1,10.71
0,5,2,5.41
0,5,3,2.92
0,5,4,2.39
0,5,5,1.6
0,5,6,1.32
0,5,7,1.24
0,5,8,1.06
0,5,9,1.06
0,5,10,1.03
0,5,11,1.01
0,5,12,1.0
0,5,13,1.0
0,5,14,1.0
0,5,15,1.0
0,5,16,1.0
0,5,17,1.0
0,5,18,1.0
0,5,19,1.0
0,6,0,19.16
0,6,1,7.62
0,6,2,3.35
0,6,3,2.64
0,6,4,1.65
0,6,5,1.39
0,6,6,1.18
0,6,7,1.1
0,6,8,1.1
0,6,9,1.01
0,6,10,1.0
0,6,11,1.0
0,6,12,1.0
0,6,13,1.0
0,6,14,1.0
0,6,15,1.0
0,6,16,1.0
0,6,17,1.0
0,6,18,1.0
0,6,19,1.0
0,7,0,15.75
0,7,1,4.29
0,7,2,2.47
0,7,3,1.62
0,7,4,1.37
0,7,5,1.19
0,7,6,1.18
0,7,7,1.08
0,7,8,1.02
0,7,9,1.02
0,7,10,1.0
0,7,11,1.0
0,7,12,1.0
0,7,13,1.0
0,7,14,1.0
0,7,15,1.0
0,7,16,1.0
0,7,17,1.0
0,7,18,1.0
0,7,19,1.0
0,8,0,11.63
0,8,1,2.62
0,8,2,1.87
0,8,3,1.57
0,8,4,1.15
0,8,5,1.11
0,8,6,1.09
0,8,7,1.0
0,8,8,1.03
0,8,9,1.01
0,8,10,1.0
0,8,11,1.0
0,8,12,1.0
0,8,13,1.0
0,8,14,1.0
0,8,15,1.0
0,8,16,1.0
0,8,17,1.0
0,8,18,1.0
0,8,19,1.0
0,9,0,9.84
0,9,1,1.86
0,9,2,1.41
0,9,3,1.07
0,9,4,1.16
0,9,5,1.06
0,9,6,1.01
0,9,7,1.0
0,9,8,1.02
0,9,9,1.0
0,9,10,1.0
0,9,11,1.0
0,9,12,1.0
0,9,13,1.0
0,9,14,1.0
0,9,15,1.0
0,9,16,1.0
0,9,17,1.0
0,9,18,1.0
0,9,19,1.0
0,10,0,8.91
0,10,1,1.67
0,10,2,1.33
0,10,3,1.13
0,10,4,1.11
0,10,5,1.06
0,10,6,1.02
0,10,7,1.01
0,10,8,1.0
0,10,9,1.0
0,10,10,1.01
0,10,11,1.0
0,10,12,1.0
0,10,13,1.0
0,10,14,1.0
0,10,15,1.0
0,10,16,1.0
0,10,17,1.0
0,10,18,1.0
0,10,19,1.0
0,11,0,8.32
0,11,1,1.29
0,11,2,1.24
0,11,3,1.11
0,11,4,1.08
0,11,5,1.04
0,11,6,1.01
0,11,7,1.01
0,11,8,1.0
0,11,9,1.0
0,11,10,1.0
0,11,11,1.0
0,11,12,1.0
0,11,13,1.0
0,11,14,1.0
0,11,15,1.0
0,11,16,1.0
0,11,17,1.0
0,11,18,1.0
0,11,19,1.0
0,12,0,8.05
0,12,1,1.3
0,12,2,1.1
0,12,3,1.04
0,12,4,1.01
0,12,5,1.0
0,12,6,1.0
0,12,7,1.0
0,12,8,1.01
0,12,9,1.0
0,12,10,1.0
0,12,11,1.0
0,12,12,1.0
0,12,13,1.0
0,12,14,1.0
0,12,15,1.0
0,12,16,1.0
0,12,17,1.0
0,12,18,1.0
0,12,19,1.0
0,13,0,7.86
0,13,1,1.19
0,13,2,1.07
0,13,3,1.03
0,13,4,1.01
0,13,5,1.01
0,13,6,1.0
0,13,7,1.0
0,13,8,1.0
0,13,9,1.0
0,13,10,1.0
0,13,11,1.0
0,13,12,1.0
0,13,13,1.0
0,13,14,1.0
0,13,15,1.0
0,13,16,1.0
0,13,17,1.0
0,13,18,1.0
0,13,19,1.0
0,14,0,7.8
0,14,1,1.09
0,14,2,1.07
0,14,3,1.02
0,14,4,1.0
0,14,5,1.01
0,14,6,1.0
0,14,7,1.0
0,14,8,1.0
0,14,9,1.0
0,14,10,1.0
0,14,11,1.0
0,14,12,1.0
0,14,13,1.0
0,14,14,1.0
0,14,15,1.0
0,14,16,1.0
0,14,17,1.0
0,14,18,1.0
0,14,19,1.0
0,15,0,7.66
0,15,1,1.0
0,15,2,1.0
0,15,3,1.0
0,15,4,1.01
0,15,5,1.0
0,15,6,1.0
0,15,7,1.0
0,15,8,1.0
0,15,9,1.0
0,15,10,1.0
0,15,11,1.0
0,15,12,1.0
0,15,13,1.0
0,15,14,1.0
0,15,15,1.0
0,15,16,1.0
0,15,17,1.0
0,15,18,1.0
0,15,19,1.0
0,16,0,7.56
0,16,1,1.06
0,16,2,1.02
0,16,3,1.0
0,16,4,1.01
0,16,5,1.0
0,16,6,1.0
0,16,7,1.0
0,16,8,1.0
0,16,9,1.0
0,16,10,1.0
0,16,11,1.0
0,16,12,1.0
0,16,13,1.0
0,16,14,1.0
0,16,15,1.0
0,16,16,1.0
0,16,17,1.0
0,16,18,1.0
0,16,19,1.0
0,17,0,7.53
0,17,1,1.02
0,17,2,1.0
0,17,3,1.0
0,17,4,1.01
0,17,5,1.01
0,17,6,1.0
0,17,7,1.0
0,17,8,1.0
0,17,9,1.0
0,17,10,1.0
0,17,11,1.0
0,17,12,1.0
0,17,13,1.0
0,17,14,1.0
0,17,15,1.0
0,17,16,1.0
0,17,17,1.0
0,17,18,1.0
0,17,19,1.0
0,18,0,7.46
0,18,1,1.01
0,18,2,1.0
0,18,3,1.0
0,18,4,1.0
