Letter,English,French,German,Spanish,Portuguese,Esperanto,Italian,Turkish,Swedish,Polish,Dutch,Danish,Icelandic,Finnish,Czech
a,8.17%,7.64%,6.52%,11.53%,14.63%,12.12%,11.75%,12.92%,9.38%,10.50%,7.49%,6.03%,10.11%,12.22%,8.42%
b,1.49%,0.90%,1.89%,2.22%,1.04%,0.98%,0.93%,2.84%,1.54%,1.74%,1.58%,2.00%,1.04%,0.28%,0.82%
c,2.78%,3.26%,2.73%,4.02%,3.88%,0.78%,4.50%,1.46%,1.49%,3.90%,1.24%,0.57%,0,0.28%,0.74%
d,4.25%,3.67%,5.08%,5.01%,4.99%,3.04%,3.74%,5.21%,4.70%,3.73%,5.93%,5.86%,1.58%,1.04%,3.48%
e,12.70%,14.72%,16.40%,12.18%,12.57%,9.00%,11.79%,9.91%,10.15%,7.35%,18.91%,15.45%,6.42%,7.97%,7.56%
f,2.23%,1.07%,1.66%,0.69%,1.02%,1.04%,1.15%,0.46%,2.03%,0.14%,0.81%,2.41%,3.01%,0.19%,0.08%
g,2.02%,0.87%,3.01%,1.77%,1.30%,1.17%,1.64%,1.25%,2.86%,1.73%,3.40%,4.08%,4.24%,0.39%,0.09%
h,6.09%,0.74%,4.58%,0.70%,0.78%,0.38%,0.64%,1.21%,2.09%,1.02%,2.38%,1.62%,1.87%,1.85%,1.36%
i,6.97%,7.53%,6.55%,6.25%,6.19%,10.01%,10.14%,9.60%,5.82%,8.33%,6.50%,6.00%,7.58%,10.82%,6.07%
j,0.15%,0.61%,0.27%,0.49%,0.40%,3.50%,0.01%,0.03%,0.61%,1.84%,1.46%,0.73%,1.14%,2.04%,1.43%
k,0.77%,0.05%,1.42%,0.01%,0.02%,4.16%,0.01%,5.68%,3.14%,2.75%,2.25%,3.40%,3.31%,4.97%,2.89%
l,4.03%,5.46%,3.44%,4.97%,2.78%,6.10%,6.51%,5.92%,5.28%,2.56%,3.57%,5.23%,4.53%,5.76%,3.80%
m,2.41%,2.97%,2.53%,3.16%,4.74%,2.99%,2.51%,3.75%,3.47%,2.52%,2.21%,3.24%,4.04%,3.20%,2.45%
n,6.75%,7.10%,9.78%,6.71%,4.45%,7.96%,6.88%,7.99%,8.54%,6.24%,10.03%,7.24%,7.71%,8.83%,6.47%
o,7.51%,5.80%,2.59%,8.68%,9.74%,8.78%,9.83%,2.98%,4.48%,6.67%,6.06%,4.64%,2.17%,5.61%,6.70%
p,1.93%,2.52%,0.67%,2.51%,2.52%,2.76%,3.06%,0.89%,1.84%,2.45%,1.57%,1.76%,0.79%,1.84%,1.91%
q,0.10%,1.36%,0.02%,0.88%,1.20%,0,0.51%,0,0.02%,0,0.01%,0.01%,0,0.01%,0.00%
r,5.99%,6.69%,7.00%,6.87%,6.53%,5.91%,6.37%,7.72%,8.43%,5.24%,6.41%,8.96%,8.58%,2.87%,4.80%
s,6.33%,7.95%,7.27%,7.98%,6.81%,6.09%,4.98%,3.01%,6.59%,5.22%,3.73%,5.81%,5.63%,7.86%,5.21%
t,9.06%,7.24%,6.15%,4.63%,4.34%,5.28%,5.62%,3.31%,7.69%,2.48%,6.79%,6.86%,4.95%,8.75%,5.73%
u,2.76%,6.31%,4.17%,2.93%,3.64%,3.18%,3.01%,3.24%,1.92%,2.06%,1.99%,1.98%,4.56%,5.01%,2.16%
v,0.98%,1.84%,0.85%,1.14%,1.58%,1.90%,2.10%,0.96%,2.42%,0.01%,2.85%,2.33%,2.44%,2.25%,5.34%
w,2.36%,0.07%,1.92%,0.02%,0.04%,0,0.03%,0,0.14%,5.81%,1.52%,0.07%,0,0.09%,0.02%
x,0.15%,0.43%,0.03%,0.22%,0.25%,0,0.00%,0,0.16%,0.00%,0.04%,0.03%,0.05%,0.03%,0.03%
y,1.97%,0.13%,0.04%,1.01%,0.01%,0,0.02%,3.34%,0.71%,3.21%,0.04%,0.70%,0.90%,1.75%,1.04%
z,0.07%,0.33%,1.13%,0.47%,0.47%,0.49%,1.18%,1.50%,0.07%,4.85%,1.39%,0.03%,0,0.05%,1.50%
